"Year","Group","Pct","Side","Amount","GroupName","PctMil","perPerson","Ratio"
1923,"Bottom.95",0.993655439105785,"Bottom",95,"95-5",9936554.39105785,104595.309379556,8.24291161543837
1924,"Bottom.95",0.993477431301596,"Bottom",95,"95-5",9934774.31301596,104576.571715957,8.01651746048661
1925,"Bottom.95",0.992921491263663,"Bottom",95,"95-5",9929214.91263663,104518.051711965,7.38277337819958
1926,"Bottom.95",0.992756231075888,"Bottom",95,"95-5",9927562.31075888,104500.655902725,7.21314118365094
1927,"Bottom.95",0.992666897051585,"Bottom",95,"95-5",9926668.97051585,104491.252321219,7.12462739554201
1928,"Bottom.95",0.992589768299625,"Bottom",95,"95-5",9925897.68299625,104483.133505224,7.04992351993059
1929,"Bottom.95",0.99259410083956,"Bottom",95,"95-5",9925941.0083956,104483.589562059,7.0540785999475
1930,"Bottom.95",0.992530633151446,"Bottom",95,"95-5",9925306.33151446,104476.908752784,6.99369242876336
1931,"Bottom.95",0.99260535202826,"Bottom",95,"95-5",9926053.5202826,104484.773897712,7.06489168226952
1932,"Bottom.95",0.992572415335643,"Bottom",95,"95-5",9925724.15335643,104481.306877436,7.0333299180562
1933,"Bottom.95",0.99251658201631,"Bottom",95,"95-5",9925165.8201631,104475.429685927,6.98046199701974
1934,"Bottom.95",0.992654948404588,"Bottom",95,"95-5",9926549.48404588,104489.994568904,7.11295170711711
1935,"Bottom.95",0.992816873287326,"Bottom",95,"95-5",9928168.73287326,104507.039293403,7.27448111899538
1936,"Bottom.95",0.992809568836917,"Bottom",95,"95-5",9928095.68836917,104506.270403886,7.26703781968176
1937,"Bottom.95",0.99317463752646,"Bottom",95,"95-5",9931746.3752646,104544.698686996,7.65854554188773
1938,"Bottom.95",0.99338186921222,"Bottom",95,"95-5",9933818.6921222,104566.512548655,7.90000348298746
1939,"Bottom.95",0.993288527255731,"Bottom",95,"95-5",9932885.27255731,104556.687079551,7.7893996640921
1940,"Bottom.95",0.993613446491995,"Bottom",95,"95-5",9936134.46491995,104590.889104421,8.1883670882368
1941,"Bottom.95",0.993793814505813,"Bottom",95,"95-5",9937938.14505813,104609.875211138,8.42787210510482
1942,"Bottom.95",0.99395620698194,"Bottom",95,"95-5",9939562.0698194,104626.969155994,8.65573728644858
1943,"Bottom.95",0.993844229721238,"Bottom",95,"95-5",9938442.29721238,104615.18207592,8.49732668199517
1944,"Bottom.95",0.993839191660947,"Bottom",95,"95-5",9938391.91660947,104614.651753784,8.49033487137038
1945,"Bottom.95",0.993762752609139,"Bottom",95,"95-5",9937627.52609139,104606.605537804,8.38563864655042
1946,"Bottom.95",0.993911170638754,"Bottom",95,"95-5",9939111.70638754,104622.22848829,8.5913253830188
1947,"Bottom.95",0.994099720838054,"Bottom",95,"95-5",9940997.20838054,104642.07587769,8.86755295855976
1948,"Bottom.95",0.994235224149053,"Bottom",95,"95-5",9942352.24149053,104656.339384111,9.07722538482733
1949,"Bottom.95",0.99437664764106,"Bottom",95,"95-5",9943766.4764106,104671.22606748,9.30683508575385
1950,"Bottom.95",0.9942702577064,"Bottom",95,"95-5",9942702.577064,104660.027126989,9.13304837844963
1951,"Bottom.95",0.994278906761438,"Bottom",95,"95-5",9942789.06761438,104660.937553836,9.14693513893401
1952,"Bottom.95",0.994341372204784,"Bottom",95,"95-5",9943413.72204784,104667.512863661,9.24848891387984
1953,"Bottom.95",0.994458492426481,"Bottom",95,"95-5",9944584.92426481,104679.841308051,9.44506886612245
1954,"Bottom.95",0.994489471141404,"Bottom",95,"95-5",9944894.71141404,104683.102225411,9.49846239005752
1955,"Bottom.95",0.994498592094739,"Bottom",95,"95-5",9944985.92094739,104684.062325762,9.514297442447
1956,"Bottom.95",0.994403975390153,"Bottom",95,"95-5",9944039.75390153,104674.102672648,9.35254131017056
1957,"Bottom.95",0.994284581666454,"Bottom",95,"95-5",9942845.81666454,104661.534912258,9.15606949520703
1958,"Bottom.95",0.994305575519256,"Bottom",95,"95-5",9943055.75519256,104663.744791501,9.19001956610645
1959,"Bottom.95",0.994202330467637,"Bottom",95,"95-5",9942023.30467637,104652.87689133,9.02542619126036
1960,"Bottom.95",0.994193977376332,"Bottom",95,"95-5",9941939.77376332,104651.997618561,9.01236564183788
1961,"Bottom.95",0.994225451894776,"Bottom",95,"95-5",9942254.51894776,104655.310725766,9.06177494920226
1962,"Bottom.95",0.9941741,"Bottom",95,"95-5",9941741,104649.905263158,8.98143679630254
1963,"Bottom.95",0.99423155,"Bottom",95,"95-5",9942315.5,104655.952631579,9.07141022558737
1964,"Bottom.95",0.994289,"Bottom",95,"95-5",9942890,104662,9.16319383645596
1965,"Bottom.95",0.9943545,"Bottom",95,"95-5",9943545,104668.894736842,9.27011732679498
1966,"Bottom.95",0.99442,"Bottom",95,"95-5",9944200,104675.789473684,9.3795510281079
1967,"Bottom.95",0.9945319,"Bottom",95,"95-5",9945319,104687.568421053,9.57257259569619
1968,"Bottom.95",0.9944266,"Bottom",95,"95-5",9944266,104676.484210526,9.39072058443018
1969,"Bottom.95",0.9946144,"Bottom",95,"95-5",9946144,104696.252631579,9.72001751258717
1970,"Bottom.95",0.9945282,"Bottom",95,"95-5",9945282,104687.178947368,9.56606408744549
1971,"Bottom.95",0.9945939,"Bottom",95,"95-5",9945939,104694.094736842,9.68295950286178
1972,"Bottom.95",0.994621,"Bottom",95,"95-5",9946210,104696.947368421,9.73200849306758
1973,"Bottom.95",0.9947285,"Bottom",95,"95-5",9947285,104708.263157895,9.93154350354688
1974,"Bottom.95",0.994808,"Bottom",95,"95-5",9948080,104716.631578947,10.0844213770173
1975,"Bottom.95",0.9947867,"Bottom",95,"95-5",9947867,104714.389473684,10.0430043804964
1976,"Bottom.95",0.9949514,"Bottom",95,"95-5",9949514,104731.726315789,10.3723533569494
1977,"Bottom.95",0.9948759,"Bottom",95,"95-5",9948759,104723.778947368,10.2187485555872
1978,"Bottom.95",0.9950616,"Bottom",95,"95-5",9950616,104743.326315789,10.6049860598361
1979,"Bottom.95",0.994896,"Bottom",95,"95-5",9948960,104725.894736842,10.2591981521201
1980,"Bottom.95",0.9949287,"Bottom",95,"95-5",9949287,104729.336842105,10.3256893540222
1981,"Bottom.95",0.9948927,"Bottom",95,"95-5",9948927,104725.547368421,10.2525353286884
1982,"Bottom.95",0.994954,"Bottom",95,"95-5",9949540,104732,10.3777249306381
1983,"Bottom.95",0.9950623,"Bottom",95,"95-5",9950623,104743.4,10.6064969520222
1984,"Bottom.95",0.9951037,"Bottom",95,"95-5",9951037,104747.757894737,10.6966237663886
1985,"Bottom.95",0.9951363,"Bottom",95,"95-5",9951363,104751.189473684,10.7686729726015
1986,"Bottom.95",0.9951353,"Bottom",95,"95-5",9951353,104751.084210526,10.7664485179483
1987,"Bottom.95",0.9950492,"Bottom",95,"95-5",9950492,104742.021052632,10.5782925034976
1988,"Bottom.95",0.9949142,"Bottom",95,"95-5",9949142,104727.810526316,10.2960999770258
1989,"Bottom.95",0.9949241,"Bottom",95,"95-5",9949241,104728.852631579,10.3162840709607
1990,"Bottom.95",0.9948837,"Bottom",95,"95-5",9948837,104724.6,10.2344076774231
1991,"Bottom.95",0.9949003,"Bottom",95,"95-5",9949003,104726.347368421,10.2678929513914
1992,"Bottom.95",0.9947324,"Bottom",95,"95-5",9947324,104708.673684211,9.93893553840559
1993,"Bottom.95",0.9946975,"Bottom",95,"95-5",9946975,104705,9.87317303158887
1994,"Bottom.95",0.9947038,"Bottom",95,"95-5",9947038,104705.663157895,9.88498009496382
1995,"Bottom.95",0.9946852,"Bottom",95,"95-5",9946852,104703.705263158,9.85020181974467
1996,"Bottom.95",0.994625200033188,"Bottom",95,"95-5",9946252.00033188,104697.389477178,9.73965451027522
1997,"Bottom.95",0.994548900127411,"Bottom",95,"95-5",9945489.00127411,104689.357908149,9.60259033544584
1998,"Bottom.95",0.994459099769592,"Bottom",95,"95-5",9944590.99769592,104679.905238904,9.44610991770212
1999,"Bottom.95",0.994397900104523,"Bottom",95,"95-5",9943979.00104523,104673.463168897,9.34234172202129
2000,"Bottom.95",0.994336500167847,"Bottom",95,"95-5",9943365.00167847,104667.000017668,9.24048760657177
2001,"Bottom.95",0.99442460000515,"Bottom",95,"95-5",9944246.0000515,104676.273684753,9.38733308654439
2002,"Bottom.95",0.994478300213814,"Bottom",95,"95-5",9944783.00213814,104681.926338296,9.47913961206128
2003,"Bottom.95",0.994453200101852,"Bottom",95,"95-5",9944532.00101852,104679.284221248,9.43600689978076
2004,"Bottom.95",0.99435320019722,"Bottom",95,"95-5",9943532.0019722,104668.757915497,9.26797137946737
2005,"Bottom.95",0.994345099925995,"Bottom",95,"95-5",9943450.99925995,104667.905255368,9.25462023073698
2006,"Bottom.95",0.994250800013542,"Bottom",95,"95-5",9942508.00013542,104657.978948794,9.10196020275122
2007,"Bottom.95",0.99414479970932,"Bottom",95,"95-5",9941447.9970932,104646.821022034,8.93622897824744
2008,"Bottom.95",0.993861700296402,"Bottom",95,"95-5",9938617.00296402,104617.021083832,8.52166122016733
2009,"Bottom.95",0.993846600055695,"Bottom",95,"95-5",9938466.00055695,104615.43158481,8.50062018816321
2010,"Bottom.95",0.993740299940109,"Bottom",95,"95-5",9937402.99940109,104604.242098959,8.3553717508938
2011,"Bottom.95",0.993702200055122,"Bottom",95,"95-5",9937022.00055122,104600.23158475,8.30450574012178
2012,"Bottom.95",0.993536099791527,"Bottom",95,"95-5",9935360.99791527,104582.747346477,8.08975571817957
1917,"Bottom.99",0.995891825760249,"Bottom",99,"99-1",9958918.25760249,100595.133915177,2.44865792063567
1918,"Bottom.99",0.996261028867495,"Bottom",99,"99-1",9962610.28867495,100632.427158333,2.69144702090601
1919,"Bottom.99",0.996002676464747,"Bottom",99,"99-1",9960026.76464747,100606.330956035,2.51684233384567
1920,"Bottom.99",0.996440057757298,"Bottom",99,"99-1",9964400.57757298,100650.510884576,2.82730741182397
1921,"Bottom.99",0.996405108495407,"Bottom",99,"99-1",9964051.08495407,100646.980656102,2.79972234287172
1922,"Bottom.99",0.996090602144774,"Bottom",99,"99-1",9960906.02144774,100615.212337856,2.5736754370842
1923,"Bottom.99",0.9965254026389,"Bottom",99,"99-1",9965254.026389,100659.131579687,2.89700132471821
1924,"Bottom.99",0.996320739058199,"Bottom",99,"99-1",9963207.39058199,100638.458490727,2.73529005098114
1925,"Bottom.99",0.995694519086926,"Bottom",99,"99-1",9956945.19086926,100575.203948174,2.33598071803701
1926,"Bottom.99",0.995487440103398,"Bottom",99,"99-1",9954874.40103398,100554.286879131,2.22832027016086
1927,"Bottom.99",0.995053920905334,"Bottom",99,"99-1",9950539.20905334,100510.497061145,2.03212474239515
1928,"Bottom.99",0.994859019382843,"Bottom",99,"99-1",9948590.19382843,100490.810038671,1.95470120434442
1929,"Bottom.99",0.99494466790269,"Bottom",99,"99-1",9949446.6790269,100499.461404312,1.98798930455595
1930,"Bottom.99",0.995104865907142,"Bottom",99,"99-1",9951048.65907142,100515.643020923,2.05337874538687
1931,"Bottom.99",0.99520343103788,"Bottom",99,"99-1",9952034.3103788,100525.599094735,2.09578137807697
1932,"Bottom.99",0.995296510344299,"Bottom",99,"99-1",9952965.10344299,100535.001044879,2.13745555755644
1933,"Bottom.99",0.995292465524259,"Bottom",99,"99-1",9952924.65524259,100534.592477198,2.1356103284059
1934,"Bottom.99",0.995278544529312,"Bottom",99,"99-1",9952785.44529312,100533.186316092,2.12928379691869
1935,"Bottom.99",0.995472518163002,"Bottom",99,"99-1",9954725.18163002,100552.779612424,2.22094274991257
1936,"Bottom.99",0.995480669467525,"Bottom",99,"99-1",9954806.69467525,100553.602976518,2.22496677890565
1937,"Bottom.99",0.9954684642898,"Bottom",99,"99-1",9954684.642898,100552.370130283,2.21894687719095
1938,"Bottom.99",0.995933390387571,"Bottom",99,"99-1",9959333.90387571,100599.332362381,2.47378878107501
1939,"Bottom.99",0.995805359467947,"Bottom",99,"99-1",9958053.59467947,100586.399946257,2.39797425256436
1940,"Bottom.99",0.996207069143969,"Bottom",99,"99-1",9962070.69143969,100626.976681209,2.65301373794337
1941,"Bottom.99",0.996496442566881,"Bottom",99,"99-1",9964964.42566881,100656.206319887,2.87297149372762
1942,"Bottom.99",0.996539714255781,"Bottom",99,"99-1",9965397.14255781,100660.577197554,2.90902499499435
1943,"Bottom.99",0.996494703562932,"Bottom",99,"99-1",9964947.03562932,100656.030662922,2.87154117975616
1944,"Bottom.99",0.996553682240896,"Bottom",99,"99-1",9965536.82240896,100661.988105141,2.92085626286874
1945,"Bottom.99",0.996560219809048,"Bottom",99,"99-1",9965602.19809048,100662.64846556,2.92642677373232
1946,"Bottom.99",0.996816897258424,"Bottom",99,"99-1",9968168.97258424,100688.575480649,3.16322103479419
1947,"Bottom.99",0.996976891377899,"Bottom",99,"99-1",9969768.91377899,100704.736502818,3.33116500566976
1948,"Bottom.99",0.997007885837534,"Bottom",99,"99-1",9970078.85837534,100707.867256317,3.36577623005257
1949,"Bottom.99",0.997094422268601,"Bottom",99,"99-1",9970944.22268601,100716.60830996,3.46631952818069
1950,"Bottom.99",0.996946958366069,"Bottom",99,"99-1",9969469.58366069,100701.71296627,3.2984061483829
1951,"Bottom.99",0.996999061121662,"Bottom",99,"99-1",9969990.61121662,100706.975870875,3.35584895106778
1952,"Bottom.99",0.997029980687783,"Bottom",99,"99-1",9970299.80687783,100710.099059372,3.39089037721441
1953,"Bottom.99",0.997166974160455,"Bottom",99,"99-1",9971669.74160455,100723.936783884,3.55534832679267
1954,"Bottom.99",0.997118172169557,"Bottom",99,"99-1",9971181.72169557,100719.007289854,3.49496962399614
1955,"Bottom.99",0.997093591822976,"Bottom",99,"99-1",9970935.91822976,100716.524426563,3.46532621339125
1956,"Bottom.99",0.997058166462355,"Bottom",99,"99-1",9970581.66462355,100712.946107309,3.42347535367144
1957,"Bottom.99",0.997082352172204,"Bottom",99,"99-1",9970823.52172204,100715.389108303,3.4519378298094
1958,"Bottom.99",0.99711464619832,"Bottom",99,"99-1",9971146.4619832,100718.651131143,3.49068634399322
1959,"Bottom.99",0.997059025163478,"Bottom",99,"99-1",9970590.25163478,100713.032844796,3.42447788379975
1960,"Bottom.99",0.997062324512272,"Bottom",99,"99-1",9970623.24512272,100713.366112351,3.42833531249735
1961,"Bottom.99",0.997055373446169,"Bottom",99,"99-1",9970553.73446169,100712.663984462,3.42021856229783
1962,"Bottom.99",0.9970379,"Bottom",99,"99-1",9970379,100710.898989899,3.39998308598288
1963,"Bottom.99",0.99709155,"Bottom",99,"99-1",9970915.5,100716.318181818,3.46288635465001
1964,"Bottom.99",0.9971452,"Bottom",99,"99-1",9971452,100721.737373737,3.52815389427411
1965,"Bottom.99",0.99715525,"Bottom",99,"99-1",9971552.5,100722.752525253,3.54065392478258
1966,"Bottom.99",0.9971653,"Bottom",99,"99-1",9971653,100723.767676768,3.55324258922523
1967,"Bottom.99",0.997221,"Bottom",99,"99-1",9972210,100729.393939394,3.624663329953
1968,"Bottom.99",0.9971361,"Bottom",99,"99-1",9971361,100720.818181818,3.51691114151396
1969,"Bottom.99",0.9972122,"Bottom",99,"99-1",9972122,100728.505050505,3.61318979304488
1970,"Bottom.99",0.9972446,"Bottom",99,"99-1",9972446,100731.777777778,3.65579508520642
1971,"Bottom.99",0.9973011,"Bottom",99,"99-1",9973011,100737.484848485,3.73253862123402
1972,"Bottom.99",0.9973505,"Bottom",99,"99-1",9973505,100742.474747475,3.80232023957255
1973,"Bottom.99",0.9975143,"Bottom",99,"99-1",9975143,100759.02020202,4.05354709747838
1974,"Bottom.99",0.9975124,"Bottom",99,"99-1",9975124,100758.828282828,4.05044333023108
1975,"Bottom.99",0.9975286,"Bottom",99,"99-1",9975286,100760.464646465,4.07706015402058
1976,"Bottom.99",0.997654,"Bottom",99,"99-1",9976540,100773.131313131,4.29552989399537
1977,"Bottom.99",0.9976094,"Bottom",99,"99-1",9976094,100768.626262626,4.21520230329734
1978,"Bottom.99",0.9977059,"Bottom",99,"99-1",9977059,100778.373737374,4.39293726242857
1979,"Bottom.99",0.997564,"Bottom",99,"99-1",9975640,100764.04040404,4.13645486059279
1980,"Bottom.99",0.9975659,"Bottom",99,"99-1",9975659,100764.232323232,4.13969156251725
1981,"Bottom.99",0.9974712,"Bottom",99,"99-1",9974712,100754.666666667,3.98428767267742
1982,"Bottom.99",0.9974337,"Bottom",99,"99-1",9974337,100750.878787879,3.92591975949339
1983,"Bottom.99",0.9975278,"Bottom",99,"99-1",9975278,100760.383838384,4.07573755514861
1984,"Bottom.99",0.9975191,"Bottom",99,"99-1",9975191,100759.505050505,4.06140936960398
1985,"Bottom.99",0.9974927,"Bottom",99,"99-1",9974927,100756.838383838,4.01853940030465
1986,"Bottom.99",0.9974892,"Bottom",99,"99-1",9974892,100756.484848485,4.0129235641423
1987,"Bottom.99",0.9973841,"Bottom",99,"99-1",9973841,100745.868686869,3.85128898990285
1988,"Bottom.99",0.9972066,"Bottom",99,"99-1",9972066,100727.939393939,3.60592608985249
1989,"Bottom.99",0.9972193,"Bottom",99,"99-1",9972193,100729.222222222,3.62244119186616
1990,"Bottom.99",0.9971873,"Bottom",99,"99-1",9971873,100725.98989899,3.58111387275536
1991,"Bottom.99",0.9972384,"Bottom",99,"99-1",9972384,100731.151515152,3.64756487236209
1992,"Bottom.99",0.9970807,"Bottom",99,"99-1",9970807,100715.222222222,3.44997849560587
1993,"Bottom.99",0.997054,"Bottom",99,"99-1",9970540,100712.525252525,3.41861932289631
1994,"Bottom.99",0.9970833,"Bottom",99,"99-1",9970833,100715.484848485,3.45306287408663
1995,"Bottom.99",0.9970535,"Bottom",99,"99-1",9970535,100712.474747475,3.41803749355081
1996,"Bottom.99",0.996972500085831,"Bottom",99,"99-1",9969725.00085831,100704.292937963,3.32631860587828
1997,"Bottom.99",0.996876299977303,"Bottom",99,"99-1",9968762.99977303,100694.575755283,3.22356740479609
1998,"Bottom.99",0.996771000027657,"Bottom",99,"99-1",9967710.00027657,100683.939396733,3.11811521397016
1999,"Bottom.99",0.996669900119305,"Bottom",99,"99-1",9966699.00119305,100673.727284778,3.0231443767914
2000,"Bottom.99",0.996585099995136,"Bottom",99,"99-1",9965850.99995136,100665.16161567,2.94782164843175
2001,"Bottom.99",0.996676299870014,"Bottom",99,"99-1",9966762.99870014,100674.373724244,3.02898485985478
2002,"Bottom.99",0.996797699928284,"Bottom",99,"99-1",9967976.99928284,100686.636356392,3.14419742377322
2003,"Bottom.99",0.996770400106907,"Bottom",99,"99-1",9967704.00106907,100683.878798677,3.11753412594551
2004,"Bottom.99",0.996646400094032,"Bottom",99,"99-1",9966464.00094032,100671.353544852,3.00188920466355
2005,"Bottom.99",0.996602300107479,"Bottom",99,"99-1",9966023.00107479,100666.899000755,2.96279548474384
2006,"Bottom.99",0.996510199904442,"Bottom",99,"99-1",9965101.99904442,100657.595949944,2.88433701626809
2007,"Bottom.99",0.996404899954796,"Bottom",99,"99-1",9964048.99954796,100646.959591394,2.79955935372803
2008,"Bottom.99",0.996186699867249,"Bottom",99,"99-1",9961866.99867249,100624.91917851,2.63878833754176
2009,"Bottom.99",0.996215299963951,"Bottom",99,"99-1",9962152.99963951,100627.808077167,2.65880537740632
2010,"Bottom.99",0.996047700047493,"Bottom",99,"99-1",9960477.00047493,100610.878792676,2.54562862135139
2011,"Bottom.99",0.996019900143147,"Bottom",99,"99-1",9960199.00143147,100608.07072153,2.52777755181918
2012,"Bottom.99",0.995817599892616,"Bottom",99,"99-1",9958175.99892616,100587.636352789,2.4050218479865
