ord,type,category,subcategory_1,subcategory_2,indent,text,orig,all,gen_GI,gen_Trad,gen_Boom,gen_X,gen_Mil
623,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Mean,Mean,7819,1238,2195,9748,10960,4957
624,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Share,Share,10.6,3.9,5.3,12.4,11.5,8
625,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,SE,SE,370.92,643.26,289.76,886.41,464.36,250.06
626,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,CV(%),CV(%),4.74,51.96,13.2,9.09,4.24,5.04
627,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,State and local income taxes,State and local income taxes,,,,,,
628,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Mean,Mean,2098,94,402,2396,2994,1679
629,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Share,Share,2.9,0.3,1,3,3.2,2.7
630,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,SE,SE,126.95,89.56,85.45,217.06,149.95,97.7
631,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,CV(%),CV(%),6.05,95.7,21.24,9.06,5.01,5.82
632,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Other taxes,Other taxes,,,,,,
633,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Mean,Mean,51,7,35,66,56,33
634,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,Share,Share,0.1,b/,0.1,0.1,0.1,0.1
635,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,SE,SE,7.4,4.1,8.82,12.83,10.45,5.28
636,Sources of income and personal taxes:,Personal taxes (contains some imputed values),Federal income taxes,,4,CV(%),CV(%),14.61,61,25.29,19.39,18.62,15.79
637,Sources of income and personal taxes:,Personal taxes (contains some imputed values),,,0,,,,,,,,
638,Sources of income and personal taxes:,Income after taxes,,,2,Income after taxes,Income after taxes,,,,,,
639,Sources of income and personal taxes:,Income after taxes,,,2,Mean,Mean,63606,30653,38486,66697,81022,54939
640,Sources of income and personal taxes:,Income after taxes,,,2,Share,Share,86.5,95.8,93.6,84.5,85.3,89.2
641,Sources of income and personal taxes:,Income after taxes,,,2,SE,SE,767.93,3150.55,1150.75,1307.29,1303.6,964.98
642,Sources of income and personal taxes:,Income after taxes,,,2,CV(%),CV(%),1.21,10.28,2.99,1.96,1.61,1.76
643,Sources of income and personal taxes:,Income after taxes,,,0,,,,,,,,
644,Addenda:,,,,0,Addenda:,Addenda:,,,,,,
645,Addenda:,,,,0,,,,,,,,
646,Addenda:,Net change in total assets and liabilities,,,2,Net change in total assets and liabilities,Net change in total assets and liabilities,,,,,,
647,Addenda:,Net change in total assets and liabilities,,,2,Mean,Mean,14049,7090,15048,21774,11645,5828
648,Addenda:,Net change in total assets and liabilities,,,2,SE,SE,1593.57,5326.66,4386.09,3388.58,3292.12,1750.35
649,Addenda:,Net change in total assets and liabilities,,,2,CV(%),CV(%),11.34,75.12,29.15,15.56,28.27,30.03
650,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,Net change in total assets,Net change in total assets,,,,,,
651,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,Mean,Mean,23805,7275,16467,28876,26342,18585
652,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,SE,SE,1586.57,5188.29,4448.96,3244.83,3293.29,2322.1
653,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,CV(%),CV(%),6.66,71.31,27.02,11.24,12.5,12.49
654,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,Net change in total liabilities,Net change in total liabilities,,,,,,
655,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,Mean,Mean,9756,185,1419,7102,14696,12757
656,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,SE,SE,960.64,1037.44,956.14,1284.25,2338.8,1667.74
657,Addenda:,Net change in total assets and liabilities,Net change in total assets,,4,CV(%),CV(%),9.85,560.86,67.36,18.08,15.91,13.07
658,Addenda:,Net change in total assets and liabilities,,,0,,,,,,,,
659,Addenda:,Other financial information:,,,2,Other financial information:,Other financial information:,,,,,,
660,Addenda:,Other financial information:,Other money receipts,,4,Other money receipts,Other money receipts,,,,,,
661,Addenda:,Other financial information:,Other money receipts,,4,Mean,Mean,1156,293,909,2458,463,273
662,Addenda:,Other financial information:,Other money receipts,,4,SE,SE,463.53,210,352.88,1342.47,129.83,56.06
663,Addenda:,Other financial information:,Other money receipts,,4,CV(%),CV(%),40.1,71.62,38.83,54.62,28.02,20.55
664,Addenda:,Other financial information:,Other money receipts,,4,Mortgage principal paid on owned property,Mortgage principal paid on owned property,,,,,,
665,Addenda:,Other financial information:,Other money receipts,,4,Mean,Mean,-1839,-272,-877,-2418,-2465,-935
666,Addenda:,Other financial information:,Other money receipts,,4,SE,SE,42.83,148.4,69.1,90.07,118.51,85.67
667,Addenda:,Other financial information:,Other money receipts,,4,CV(%),CV(%),-2.33,-54.64,-7.88,-3.73,-4.81,-9.16
668,Addenda:,Other financial information:,Other money receipts,,4,Estimated market value of owned home,Estimated market value of owned home,,,,,,
669,Addenda:,Other financial information:,Other money receipts,,4,Mean,Mean,186064,209623,225110,234703,203875,79668
670,Addenda:,Other financial information:,Other money receipts,,4,SE,SE,3585.18,37622.56,8867.18,5786.65,6904.04,2240.65
671,Addenda:,Other financial information:,Other money receipts,,4,CV(%),CV(%),1.93,17.95,3.94,2.47,3.39,2.81
672,Addenda:,Other financial information:,Other money receipts,,4,Estimated monthly rental value of owned home,Estimated monthly rental value of owned home,,,,,,
673,Addenda:,Other financial information:,Other money receipts,,4,Mean,Mean,1017,1028,1195,1263,1092,508
674,Addenda:,Other financial information:,Other money receipts,,4,SE,SE,11.48,115.25,26.06,21.1,26.84,13.62
675,Addenda:,Other financial information:,Other money receipts,,4,CV(%),CV(%),1.13,11.22,2.18,1.67,2.46,2.68
676,Addenda:,Other financial information:,,,0,,,,,,,,
677,Addenda:,"Gifts of goods and services, total",,,2,"Gifts of goods and services, total","Gifts of goods and services, total",,,,,,
678,Addenda:,"Gifts of goods and services, total",,,2,Mean,Mean,1229,859,967,1713,1350,582
679,Addenda:,"Gifts of goods and services, total",,,2,SE,SE,49.08,318.36,121.19,116.3,110.22,49.56
680,Addenda:,"Gifts of goods and services, total",,,2,CV(%),CV(%),3.99,37.08,12.53,6.79,8.17,8.51
681,Addenda:,"Gifts of goods and services, total",Food,,4,Food,Food,,,,,,
682,Addenda:,"Gifts of goods and services, total",Food,,4,Mean,Mean,88,59,57,131,83,50
683,Addenda:,"Gifts of goods and services, total",Food,,4,SE,SE,8.39,49.19,11.52,21.69,10.57,15.61
684,Addenda:,"Gifts of goods and services, total",Food,,4,CV(%),CV(%),9.57,83.37,20.33,16.56,12.72,31.37
685,Addenda:,"Gifts of goods and services, total",Food,,4,Alcoholic beverages,Alcoholic beverages,,,,,,
686,Addenda:,"Gifts of goods and services, total",Food,,4,Mean,Mean,14,2,5,14,16,17
687,Addenda:,"Gifts of goods and services, total",Food,,4,SE,SE,1.64,1.48,2.29,2.98,4.1,3.89
688,Addenda:,"Gifts of goods and services, total",Food,,4,CV(%),CV(%),11.54,95.66,43.6,20.81,26.03,22.44
689,Addenda:,"Gifts of goods and services, total",Food,,4,Housing,Housing,,,,,,
690,Addenda:,"Gifts of goods and services, total",Food,,4,Mean,Mean,233,219,220,311,237,129
691,Addenda:,"Gifts of goods and services, total",Food,,4,SE,SE,13.92,152.2,32.49,29.38,38.42,9.9
692,Addenda:,"Gifts of goods and services, total",Food,,4,CV(%),CV(%),5.97,69.52,14.79,9.44,16.21,7.66
693,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Housekeeping supplies,Housekeeping supplies,,,,,,
694,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Mean,Mean,33,10,18,51,26,26
695,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,SE,SE,4.74,7.81,4.37,11.29,3.7,5.28
696,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,CV(%),CV(%),14.2,76.81,24.89,22.12,14.17,20.62
697,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Household textiles,Household textiles,,,,,,
698,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Mean,Mean,7,c/,2,12,5,3
699,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,SE,SE,1.26,c/,0.88,3.23,1.81,0.86
700,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,CV(%),CV(%),19.16,c/,48.91,26.1,35.51,29.28
701,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Appliances and miscellaneous housewares,Appliances and miscellaneous housewares,,,,,,
702,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,Mean,Mean,20,c/,18,28,18,14
703,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,SE,SE,2.65,c/,5.8,3.55,5.3,4.26
704,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,6,CV(%),CV(%),13.13,c/,31.45,12.9,28.97,30.6
705,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,Major appliances,Major appliances,,,,,,
706,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,Mean,Mean,7,c/,13,10,5,3
707,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,SE,SE,1.14,c/,4.97,1.95,1.6,1.71
708,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,CV(%),CV(%),15.55,c/,39.6,18.7,32.9,51.45
709,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,Small appliances and miscellaneous housewares,Small appliances and miscellaneous housewares,,,,,,
710,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,Mean,Mean,13,c/,6,17,13,11
711,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,SE,SE,2.2,c/,3.03,3.07,4.97,3.9
712,Addenda:,"Gifts of goods and services, total",Food,Housekeeping supplies,8,CV(%),CV(%),17.08,c/,51.51,17.94,37.04,36.78
713,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,Miscellaneous household equipment,Miscellaneous household equipment,,,,,,
714,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,Mean,Mean,53,39,45,78,49,30
715,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,SE,SE,5.26,35.6,14.27,12.3,6.91,5.04
716,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,CV(%),CV(%),9.87,91.85,31.98,15.82,14.18,17.08
717,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,Other housing,Other housing,,,,,,
718,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,Mean,Mean,120,170,137,142,139,57
719,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,SE,SE,11.53,144.6,31.15,17.17,35.66,8.6
720,Addenda:,"Gifts of goods and services, total",Food,Miscellaneous household equipment,6,CV(%),CV(%),9.63,85.06,22.69,12.06,25.68,15.05
721,Addenda:,"Gifts of goods and services, total",Apparel and services,,4,Apparel and services,Apparel and services,,,,,,
722,Addenda:,"Gifts of goods and services, total",Apparel and services,,4,Mean,Mean,203,72,109,267,194,177
723,Addenda:,"Gifts of goods and services, total",Apparel and services,,4,SE,SE,11.87,47.08,16.96,20.23,21.04,23.71
724,Addenda:,"Gifts of goods and services, total",Apparel and services,,4,CV(%),CV(%),5.85,65.1,15.51,7.56,10.86,13.42
725,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,"Males, 2 and over","Males, 2 and over",,,,,,
726,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Mean,Mean,56,69,30,74,53,45
727,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,SE,SE,5.07,46.75,7.98,10.42,9.78,11.74
728,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,CV(%),CV(%),9.14,67.43,26.49,14.11,18.3,26.23
729,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,"Females, 2 and over","Females, 2 and over",,,,,,
730,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Mean,Mean,73,2,39,102,67,60
731,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,SE,SE,5.82,2.36,10.04,13.3,9.63,12.15
732,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,CV(%),CV(%),7.94,102.72,25.71,12.99,14.41,20.22
733,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Children under 2,Children under 2,,,,,,
734,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Mean,Mean,32,c/,17,33,41,27
735,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,SE,SE,3.42,c/,7.14,7.27,6.91,4.37
736,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,CV(%),CV(%),10.83,c/,42.36,21.89,16.67,15.88
737,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Other apparel products and services,Other apparel products and services,,,,,,
738,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,Mean,Mean,43,1,23,58,32,44
739,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,SE,SE,4.96,0.67,8.24,8.56,5.43,11.45
740,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",6,CV(%),CV(%),11.63,99.68,35.35,14.77,17.04,25.83
741,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,Jewelry and watches,Jewelry and watches,,,,,,
742,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,Mean,Mean,9,1,8,10,6,9
743,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,SE,SE,1.74,0.67,4.47,3.62,1.62,3.84
744,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,CV(%),CV(%),20.44,99.68,57.75,34.85,26.5,41.4
745,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,All other apparel products and services,All other apparel products and services,,,,,,
746,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,Mean,Mean,34,c/,16,48,26,35
747,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,SE,SE,4.19,c/,5.02,6.8,5.09,10.77
748,Addenda:,"Gifts of goods and services, total",Apparel and services,"Males, 2 and over",8,CV(%),CV(%),12.26,c/,32.23,14.29,19.75,30.73
749,Addenda:,"Gifts of goods and services, total",Transportation,,4,Transportation,Transportation,,,,,,
750,Addenda:,"Gifts of goods and services, total",Transportation,,4,Mean,Mean,141,70,80,167,194,84
751,Addenda:,"Gifts of goods and services, total",Transportation,,4,SE,SE,19.82,34.15,26.47,35.31,50.68,34.53
752,Addenda:,"Gifts of goods and services, total",Transportation,,4,CV(%),CV(%),14.02,48.49,33,21.2,26.07,41
753,Addenda:,"Gifts of goods and services, total",Transportation,,4,Healthcare,Healthcare,,,,,,
754,Addenda:,"Gifts of goods and services, total",Transportation,,4,Mean,Mean,21,261,26,25,19,3
755,Addenda:,"Gifts of goods and services, total",Transportation,,4,SE,SE,3.29,234,9.08,4.72,2.96,0.96
756,Addenda:,"Gifts of goods and services, total",Transportation,,4,CV(%),CV(%),15.85,89.53,34.67,18.67,15.8,28.8
757,Addenda:,"Gifts of goods and services, total",Transportation,,4,Entertainment,Entertainment,,,,,,
758,Addenda:,"Gifts of goods and services, total",Transportation,,4,Mean,Mean,98,34,79,138,94,61
759,Addenda:,"Gifts of goods and services, total",Transportation,,4,SE,SE,8.18,24.72,20.07,17.33,14.12,8.19
760,Addenda:,"Gifts of goods and services, total",Transportation,,4,CV(%),CV(%),8.32,72.91,25.47,12.57,14.99,13.43
761,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,"Toys, games, arts and crafts, and tricycles","Toys, games, arts and crafts, and tricycles",,,,,,
762,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,Mean,Mean,39,8,17,56,37,30
763,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,SE,SE,5.11,8.72,7.03,9.48,10.38,5.34
764,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,CV(%),CV(%),13.01,108.02,40.29,16.81,28.18,17.56
765,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,Other entertainment,Other entertainment,,,,,,
766,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,Mean,Mean,59,26,61,82,57,31
767,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,SE,SE,6.06,17.05,18.04,13.98,9.13,5.57
768,Addenda:,"Gifts of goods and services, total",Transportation,"Toys, games, arts and crafts, and tricycles",6,CV(%),CV(%),10.24,66,29.41,17.15,15.92,18.24
769,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Personal care products and services,Personal care products and services,,,,,,
770,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Mean,Mean,12,c/,11,13,14,9
771,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,SE,SE,2.15,c/,5.34,2.98,5.5,2.65
772,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,CV(%),CV(%),17.97,c/,48.85,22.34,40.4,27.97
773,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Reading,Reading,,,,,,
774,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Mean,Mean,3,1,1,4,3,2
775,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,SE,SE,0.44,1.28,0.44,0.89,0.87,0.74
776,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,CV(%),CV(%),16.48,101.23,45.82,25.08,28.44,37.26
777,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Education,Education,,,,,,
778,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Mean,Mean,314,12,293,479,411,8
779,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,SE,SE,34.37,9.67,85.75,84.44,76.12,2.02
780,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,CV(%),CV(%),10.95,81.56,29.23,17.64,18.52,25.71
781,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,All other gifts,All other gifts,,,,,,
782,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,Mean,Mean,102,128,85,164,85,41
783,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,SE,SE,12.31,95.51,23.72,33.34,13.53,9.88
784,Addenda:,"Gifts of goods and services, total",Personal care products and services,,4,CV(%),CV(%),12.12,74.61,27.79,20.39,15.93,23.85
